date,AEP,AMZN,CAT,JPM,XOM
2011-01-03,27.254522898506,184.22,77.197617452901,36.314296434156,60.415733100366
2011-01-04,27.450003614468,185.01,76.836842607662,36.839262169666,60.699375039805
2011-01-05,27.036486715318,187.42,77.500996300034,37.289742277719,60.537293931554
2011-01-06,27.171819518676,185.86,76.697452326546,37.106213344809,60.926288591355
2011-01-07,27.06656067162,185.49,76.853241464263,36.40546651006,61.258554863269
2011-01-10,26.886116933809,184.68,76.574460902033,36.205253128703,60.885768314293
2011-01-11,27.006412759016,184.34,77.033628886883,36.372097613167,61.339595417394
2011-01-12,27.028968226242,184.08,76.656455185042,37.298084501943,62.060856349109
2011-01-13,26.81845053213,185.53,77.1894180246,37.081186672139,62.166209069471
2011-01-14,26.65304377247,188.75,77.082825456688,37.464928986407,63.081967331087
2011-01-18,27.224448942204,191.25,79.263873384726,37.331453398835,63.787020151976
2011-01-19,27.028968226242,186.87,78.695525960477,36.463862079622,63.406129547588
2011-01-20,27.419929658166,181.96,77.105800556419,37.331453398835,63.009030832374
2011-01-21,27.39737419094,177.42,76.397425505906,37.781933506888,64.005829648114
2011-01-24,27.630447352278,176.85,77.896544798852,37.556693452862,63.689771487026
2011-01-25,27.562780950599,176.7,77.748280253396,37.431560089514,63.762707985739
2011-01-26,27.374818723713,175.39,78.868501263509,37.523324555969,64.556905416166
2011-01-27,27.585336417826,184.45,79.593350152406,37.623431246647,64.735194635242
2011-01-28,26.961301824563,171.14,78.810842829165,37.156266690148,64.013933703527
2011-01-31,26.825969021205,169.64,79.906353081703,37.489955659076,65.383519068244
2011-02-01,27.028968226242,172.11,80.730045000904,38.315835857173,68.001128966489
2011-02-02,26.833487510281,173.53,81.619632273641,37.91540909446,67.595926195863
2011-02-03,26.931227868262,173.71,81.487841566569,37.923751318683,67.6202383621
2011-02-04,26.780858086753,175.93,82.031478233242,37.197977811264,67.4905734755
2011-02-07,27.096634627922,176.43,82.756327122139,37.957120215576,68.017337077314
2011-02-08,27.284596854808,183.06,82.871643990827,38.157333596932,67.604030251275
2011-02-09,27.216061724556,185.3,82.196216617082,37.631773470871,67.253708089211
2011-02-10,27.117066536414,186.21,82.863407071635,37.982146888245,67.783264845819
2011-02-11,27.307441898225,189.25,85.285061314086,38.849738207458,67.473677818879
2011-02-14,27.048531406162,190.42,85.05442757671,38.824711534789,69.176406467049
2011-02-15,27.284596854808,189.03,84.840267677717,39.058293813038,67.59588322425
2011-02-16,27.238906767973,186.62,85.293298233278,39.992622926037,68.182469170031
2011-02-17,27.299826883753,187.76,85.13679676863,39.892516235359,68.337262683501
2011-02-18,27.231291753501,186.5,87.196026566633,40.042676271376,68.842378359035
2011-02-22,27.117066536414,180.42,84.024812677708,38.382573650959,69.608198899361
2011-02-23,26.941921203547,176.68,82.385665758498,38.340862529843,70.936164304393
2011-02-24,26.736315812791,177.75,82.838696314059,38.299151408727,70.039991331672
2011-02-25,26.865771058823,177.24,84.016575758516,38.941502673914,69.526728629113
2011-02-28,27.246521782445,173.29,84.782609243373,38.949844898137,69.681522142583
2011-03-01,26.881001087768,169.44,82.253875051426,38.040542457808,69.086789169777
2011-03-02,27.101836507469,172.02,83.168173081739,37.715195713103,69.31490592647
2011-03-03,27.38359204295,172.79,85.869882576719,38.440969220521,69.917785926301
2011-03-04,26.903846131185,171.67,84.873215354486,37.973804664022,69.31490592647
2011-03-07,27.117066536414,169.08,84.123655708012,37.698511264656,69.021612953579
2011-03-08,27.398822071895,166.89,85.771039546415,38.707920395664,68.923848629283
2011-03-09,27.642502535013,169.05,84.313104849429,38.841395983235,68.744614034738
2011-03-10,27.223676739028,166.14,81.0430479302,37.982146888245,66.300505927317
2011-03-11,27.269366825863,168.07,82.385665758498,38.157333596932,66.903385927148
2011-03-14,26.911461145657,166.73,84.098944950436,37.790275731112,67.115208629791
2011-03-15,26.591630537814,165.08,82.986960859515,37.21466225971,66.308652954342
2011-03-16,26.089039582632,164.7,82.698668687795,36.547284321854,64.614071333196
2011-03-17,25.58644862745,160.97,84.939110708022,37.172951138594,66.121271332773
2011-03-18,25.746363931372,161.82,86.537073031272,38.157333596932,65.868713495006
2011-03-21,25.936739293183,164.525,88.621013586851,38.065569130477,67.489971872929
2011-03-22,26.012889437908,162.6,87.96206005149,37.932093542906,67.261855116236
2011-03-23,26.271799929971,165.32,87.937349293914,38.040542457808,67.294443224335
2011-03-24,26.507865378617,171.1,89.263493283828,38.148991372709,67.400354575657
2011-03-25,26.431715233893,170.98,89.856551465652,38.257440287611,68.125439980858
2011-03-28,26.416485204948,169.35,90.111895960605,38.340862529843,68.003234575487
2011-03-29,26.728700798319,174.62,91.050904748494,38.390915875182,67.823999980943
2011-03-30,27.033301377217,179.42,91.866359748503,38.74963151678,68.834231332011
2011-03-31,26.759160856208,180.13,91.718095203047,38.457653668968,68.54093835912
2011-04-01,27.048531406162,180.13,93.176029900033,38.666209274548,68.989024845481
2011-04-04,26.995226304854,182.94,93.390189799025,38.866422655905,69.143818358951
2011-04-05,26.881001087768,185.29,92.50883944548,39.067716169876,69.591904845311
2011-04-06,27.086606478524,182.76,91.429803031327,39.956762523248,69.396376196717
2011-04-07,27.010456333799,184.91,90.482557324245,39.755469009277,69.868903764152
2011-04-08,26.88861610224,184.71,90.457846566669,39.285784143344,70.023697277622
2011-04-11,26.4850203352,184.04,89.840077627268,39.302558602842,69.380082142668
2011-04-12,26.340335060223,180.48,87.780847829266,39.118039548369,67.76697079177
2011-04-13,26.591630537814,182.29,88.653961263619,38.790937588166,67.75067673772
